2020-01-26 16:00:16
h	°C	1	2	3	4	5	6
34,0	-0,0	7,805337466666667	7,343408800000001	8,7544443	7,831834400000001	7,7034460000000005	8,111980666666668
36,0	-0,0	7,508265466666667	7,3797380000000015	8,4382331	7,394529200000001	7,553056399999999	8,125488999999998
38,0	-0,0	5,9929676	6,5365728	8,190769500000002	6,282420000000002	6,6490219999999995	6,296875666666667
40,0	-0,0	6,107876266666667	6,9586448	8,202879900000001	6,5757796000000015	7,026688000000001	7,632813666666666
42,0	-0,0	6,569464933333333	6,8537608	8,331982300000002	6,848826000000001	7,0126252000000004	6,929689333333333
44,0	-0,0	6,327358266666666	6,852979599999999	7,972364000000001	6,715623600000001	6,9565719999999995	7,375489999999999
46,0	-0,0	6,760221266666667	6,6465349	8,1431155	6,904295200000002	7,123954400000001	7,585937333333333
48,0	-0,0	6,700972933333335	7,050831200000001	8,1749507	7,154294800000002	7,1167268	7,945313666666666
50,0	-0,0	6,9003567666666665	6,9623539999999995	8,3222167	7,181052800000002	7,0530556	8,015788666666666
52,0	-0,0	7,3912742666666675	7,3359856	8,6362783	7,403513200000001	7,2731728	8,182292666666665
54,0	-0,0	7,348111266666667	7,653566	8,693308700000003	7,560349200000002	7,423368800000001	8,197103333333335
56,0	-0,0	7,005093266666667	7,5783700000000005	8,643017500000001	7,6874980000000015	7,488994399999999	7,489497999999999
58,0	-0,0	7,2527349333333335	7,407667200000001	8,5075687	7,712498400000001	7,5370404	7,434897333333332
60,0	-0,0	6,914273266666667	7,2340336	8,3519039	7,480466800000002	7,289384000000001	7,106543999999999
62,0	-0,0	6,333706766666667	6,690479900000001	8,027489500000001	6,940427600000002	6,734959333333333	6,5911136
64,0	-0,0	6,627164266666666	6,7974134	8,007569100000001	6,7593732000000015	6,931817499999999	6,786866499999999
66,0	-0,0	7,042447266666666	7,0051768999999995	7,975293000000001	6,854881200000001	7,165946399999999	7,4456393333333315
68,0	-0,0	6,748257766666667	7,2061052	8,074559100000002	7,069139200000001	6,9289700000000005	7,032065666666667
70,0	-0,0	7,329163866666667	7,147901200000001	8,162841100000001	7,190232400000001	7,3028608	7,376790999999998
72,0	-0,0	7,052945266666667	7,5738784	8,2429207	7,2945296000000015	7,269266400000002	8,263672666666665
74,0	-0,0	7,145310933333334	7,299854	8,293505500000002	7,267967200000001	7,063164	7,782390333333332
76,0	-0,0	7,418813466666666	7,2813004	8,3820305	7,4343736000000025	7,223565499999999	8,205177599999999
78,0	-0,0	7,646937866666667	7,396534000000001	8,635301900000002	7,544138800000002	7,316990666666666	7,699545333333333
80,0	-0,0	7,779360666666667	7,4623539999999995	8,3778815	7,614256400000001	7,630985599999999	7,808269666666665
82,0	-0,0	7,786343266666666	7,8348152	8,276317500000001	7,590428400000002	7,613406800000001	8,177572000000001
84,0	-0,0	7,5537746666666665	7,5037612000000005	7,790478500000001	7,375584000000002	7,3944616000000005	7,893554999999999
86,0	-0,0	7,465297866666667	7,5736827999999985	7,822704500000002	7,180272000000001	7,3061812	7,871421000000001
88,0	-0,0	7,466469066666667	7,401026400000001	7,911329	7,025780000000002	7,3464160000000005	7,558757333333332
90,0	-0,0	7,407680766666666	7,2500504	7,800001500000002	7,041404800000001	7,4755164	7,464194
92,0	-0,0	7,431702666666666	7,349660000000001	8,005614300000001	6,999998400000001	7,372588399999999	7,118815999999999
94,0	-0,0	7,405728766666666	7,0872084	7,829541000000001	7,081052800000002	7,4848924	7,203451666666666
96,0	-0,0	7,470180766666666	6,948941733333332	8,125683500000001	7,285154800000002	7,497978	7,222330999999998
98,0	-0,0	7,602993266666667	7,450440800000001	8,3187007	7,358005600000002	7,5386032	8,091472666666665
100,0	-0,0	7,7938138666666665	7,5094248	8,2663095	7,362302400000002	7,5829384	8,089356666666667
102,0	-0,0	7,940297066666666	7,406689599999999	8,169140000000002	7,461522000000002	7,6171188	8,200846666666667
104,0	-0,0	8,039710666666668	7,4824704	8,052442500000002	7,516990400000002	7,6454396	8,239421666666665
106,0	-0,0	7,987368666666667	7,377589200000001	7,856397500000002	7,463670000000002	7,5593068	7,9978859999999985
108,0	-0,0	7,590785766666667	7,391066400000001	7,6835450000000005	7,267380800000002	7,309504666666666	7,504232333333332
110,0	-0,0	7,314664266666666	7,5365728	7,597280833333334	6,994139600000001	7,246678666666667	7,467123666666666
112,0	-0,0	7,565882266666668	7,653759999999999	7,625928000000002	7,039452000000002	7,4595020000000005	7,935385
114,0	-0,0	7,408412766666666	7,572315199999999	7,871045500000001	7,0271468000000015	7,503838	7,111425599999999
116,0	-0,0	7,2985497666666665	7,672706400000001	7,6581545	6,987693200000001	7,533524000000001	7,966146666666666
