Minima;;;;Maxima
Sample;Phase [h];milliVolt [mV];;Sample;Phase [h];milliVolt [mV]
;11.0;6.425660281468553;;;0.0;6.425660281468553
17;13.0;4.670295726107227;;17;2.0;5.092602979020997
;15.0;5.092602979020997;;;3.0;5.171522846620063
;16.0;5.171522846620063;;;3.0;5.211679259518277
;15.0;5.211679259518277;;;3.0;5.313770790542809
;14.0;5.313770790542809;;;4.0;5.4358418146853325
;13.0;5.4358418146853325;;;3.0;5.406600354312372
;12.0;5.406600354312372;;;0.0;5.406600354312372
18;13.0;4.605730693473197;;18;2.0;4.916866297202814
;15.0;4.916866297202814;;;3.0;4.989004278787895
;16.0;4.989004278787895;;;3.0;5.022001698967715
;16.0;5.022001698967715;;;4.0;5.097742691142207
;15.0;5.097742691142207;;;5.0;5.18133138403265
;13.0;5.18133138403265;;;3.0;5.201550825757592
;11.0;5.201550825757592;;;0.0;5.201550825757592
19;13.0;4.842047815850816;;19;2.0;5.22827704079256
;15.0;5.22827704079256;;;2.0;5.29134114219116
;16.0;5.29134114219116;;;3.0;5.368968726689994
;15.0;5.368968726689994;;;4.0;5.430219483183502
;14.0;5.430219483183502;;;5.0;5.586727483035502
;12.0;5.586727483035502;;;3.0;5.575826113636383
;11.0;5.575826113636383;;;0.0;5.575826113636383
20;13.0;5.201673410256414;;20;2.0;5.682028046620066
;15.0;5.682028046620066;;;2.0;5.742988256410276
;16.0;5.742988256410276;;;3.0;5.774492418414939
;15.0;5.774492418414939;;;4.0;5.843783698717969
;15.0;5.843783698717969;;;4.0;5.927555065268086
;13.0;5.927555065268086;;;3.0;5.884090522144542
;12.0;5.884090522144542;;;0.0;5.884090522144542
21;14.0;6.4258646052836115;;21;2.0;6.609111815384638
;16.0;6.609111815384638;;;4.0;6.714796731934754
;17.0;6.714796731934754;;;4.0;6.66500129778557
;17.0;6.66500129778557;;;11.0;6.640005910422933
;11.0;6.640005910422933;;;10.0;6.6588750209790435
;11.0;6.6588750209790435;;;9.0;6.725623214743603
;17.0;6.725623214743603;;;--
22;14.0;6.680139497280497;;22;4.0;7.083592412121236
;16.0;7.083592412121236;;;3.0;7.227321507381531
;13.0;7.227321507381531;;;4.0;7.127589764309789
;16.0;7.127589764309789;;;2.0;6.924606501631724
;15.0;6.924606501631724;;;11.0;6.968949374958398
;11.0;6.968949374958398;;;11.0;6.9960968817849
;11.0;6.9960968817849;;;--
23;14.0;6.423888254856256;;23;1.0;6.505941033411053
;15.0;6.505941033411053;;;5.0;6.610534668664691
;18.0;6.610534668664691;;;3.0;6.526363101398623
;17.0;6.526363101398623;;;11.0;6.516645239760261
;11.0;6.516645239760261;;;8.0;6.518030614385636
;11.0;6.518030614385636;;;11.0;6.591985240259757
;11.0;6.591985240259757;;;--
24;14.0;6.779444299145304;;24;1.0;7.082236201398627
;16.0;7.082236201398627;;;5.0;7.235142106293732
;16.0;7.235142106293732;;;2.0;7.0994413306693565
;18.0;7.0994413306693565;;;2.0;6.922498572261096
;15.0;6.922498572261096;;;11.0;6.997689492840516
;11.0;6.997689492840516;;;11.0;7.042117856809877
;11.0;7.042117856809877;;;--
25;14.0;7.083863426573429;;25;2.0;7.236573298368323
;17.0;7.236573298368323;;;5.0;7.329682522144546
;17.0;7.329682522144546;;;3.0;7.149563357808882
;17.0;7.149563357808882;;;11.0;7.149563357808882
;11.0;7.017056846153868;;;11.0;7.049204502830521
;11.0;7.049204502830521;;;--
26;12.0;6.921758787101787;;26;1.0;7.052800842268866
;14.0;7.052800842268866;;;1.0;7.224395151515175
;11.0;7.224395151515175;;;8.0;7.867200455605027
;14.0;7.867200455605027;;;3.0;7.651052579254105
;13.0;7.651052579254105;;;0.0;7.813553648018675
;11.0;7.813553648018675;;;17.0;7.91338166340329
;8.0;7.91338166340329;;;--
27;13.0;7.083268953379977;;27;22.0;7.91338166340329
;11.0;7.028242750582773;;;2.0;7.083268953379977
;17.0;7.0368299638694864;;;1.0;7.028242750582773
;15.0;7.072289620046644;;;1.0;7.0368299638694864
;3.0;7.336046385392408;;;4.0;7.072289620046644
;2.0;7.359661663403287;;;14.0;7.336046385392408
;--;;;13.0;7.359661663403287
28;12.0;6.518160320901326;;28;1.0;6.783315564879587
;12.0;6.783315564879587;;;1.0;6.9501271328671566
;12.0;6.9501271328671566;;;0.0;6.810683755244778
;15.0;6.810683755244778;;;3.0;6.661794091375313
;14.0;6.661794091375313;;;20.0;6.542232122766144
;11.0;6.542232122766144;;;18.0;6.511979224775247
;10.0;6.511979224775247;;;--
29;13.0;5.974317867132887;;29;2.0;5.974317867132887
;11.0;5.910830615384636;;;1.0;5.910830615384636
;15.0;5.951313051282072;;;0.0;5.951313051282072
