30.04.2019	15:00:00
h	°C	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
2,05835	20,9	7,77832	7,85645	7,02637	7,65137	7,72461	7,64160	7,34375	7,97852	7,72949	7,84180	8,26172	8,31055	8,53027	7,57813	8,30078	8,30566	7,36816	7,09473	7,45605	7,99805	7,57813	8,14453	7,19238	8,06641	7,82227	8,64746	8,50098	8,37891	7,62695	8,44727	8,19824	0,05371
2,06668	20,9	7,76855	7,85156	7,02148	7,63672	7,72949	7,64160	7,32910	7,97852	7,73438	7,85156	8,12500	8,32031	8,53027	7,57813	8,29102	8,29102	7,35840	7,06055	7,44629	7,99316	7,58789	8,14941	7,19727	8,07129	7,82715	8,64746	8,49609	8,37402	7,62207	8,44238	8,19336	0,05371
2,07502	20,9	7,74414	7,82715	7,02148	7,60742	7,70020	7,63672	7,32910	7,98340	7,75879	7,86621	8,27148	8,33008	8,53027	7,58789	8,29102	8,28613	7,34863	7,06055	7,42188	7,98828	7,59766	8,14941	7,20215	8,07129	7,83203	8,64258	8,49121	8,36914	7,62207	8,43262	8,18848	0,05371
2,08335	20,9	7,72949	7,81738	7,00195	7,60254	7,68555	7,64160	7,31934	7,98828	7,75391	7,89063	8,28125	8,33008	8,52051	7,59766	8,30566	8,29102	7,33887	7,05078	7,42676	7,98828	7,59766	8,16406	7,21191	8,07617	7,84180	8,64258	8,49121	8,36426	7,61719	8,42773	8,18848	0,05859
2,09169	20,9	7,71484	7,81738	6,99219	7,59766	7,66602	7,64648	7,32422	7,98340	7,76367	7,89551	8,29102	8,33496	8,53027	7,58789	8,30566	8,27637	7,32910	7,02637	7,41211	7,97852	7,61230	8,17871	7,21191	8,09082	7,84668	8,63770	8,48633	8,36426	7,61230	8,42285	8,18359	0,05371
2,10002	20,9	7,70508	7,79297	6,98730	7,57813	7,66602	7,64648	7,33398	7,98340	7,77344	7,91016	8,29590	8,34473	8,54492	7,59277	8,31055	8,26172	7,31934	7,03125	7,41211	7,97363	7,61719	8,19336	7,22656	8,10059	7,86621	8,63770	8,48145	8,35938	7,61230	8,42285	8,18359	0,05371
2,10836	20,9	7,70996	7,78320	6,97754	7,56836	7,64648	7,66113	7,32910	7,99316	7,78809	7,91992	8,26660	8,33984	8,53516	7,59766	8,31543	8,26660	7,31445	7,01172	7,38770	7,95898	7,62207	8,20313	7,23633	8,11035	7,88086	8,63281	8,47656	8,35449	7,60742	8,41797	8,17871	0,05371
2,11669	20,9	7,70996	7,76855	6,94336	7,55859	7,63184	7,66113	7,32422	7,98340	7,78320	7,93945	8,28125	8,34961	8,53516	7,61719	8,32031	8,26660	7,31445	7,00195	7,38770	7,96875	7,64160	8,20801	7,25098	8,11523	7,89551	8,63281	8,47656	8,35449	7,60742	8,41797	8,17383	0,05371
2,12503	20,9	7,69043	7,75879	6,93848	7,54395	7,64160	7,66602	7,33398	7,97852	7,79785	7,95410	8,28125	8,36426	8,54004	7,62207	8,33496	8,25195	7,30957	7,01172	7,39258	7,95410	7,64648	8,20801	7,25586	8,12012	7,90527	8,62793	8,47168	8,35449	7,60254	8,41309	8,17383	0,05859
2,13336	20,9	7,68555	7,75391	6,93848	7,53418	7,61719	7,67090	7,32422	7,98340	7,79785	7,96875	8,29590	8,36426	8,53516	7,61719	8,33496	8,25195	7,30957	7,00684	7,38770	7,94434	7,64160	8,21777	7,26563	8,12988	7,91016	8,62793	8,47168	8,34961	7,60254	8,41309	8,16895	0,05371
2,14170	20,9	7,68066	7,74414	6,91895	7,51953	7,61230	7,67090	7,32422	7,98828	7,80762	7,98340	8,22754	8,36426	8,54980	7,62207	8,34961	8,24707	7,30957	6,99219	7,38281	7,94434	7,66113	8,23242	7,27539	8,12988	7,91992	8,62305	8,46680	8,34961	7,60254	8,40820	8,16895	0,05371
2,15003	20,9	7,67090	7,71973	6,92383	7,52930	7,61230	7,67578	7,31934	7,99805	7,80762	7,99805	8,33008	8,37402	8,55469	7,63184	8,34473	8,25195	7,29492	6,99707	7,37793	7,93457	7,66602	8,23730	7,27539	8,13477	7,92480	8,62305	8,46191	8,34473	7,59766	8,40820	8,16895	0,05371
2,15837	20,9	7,67578	7,70508	6,91895	7,50488	7,59766	7,67578	7,31934	7,99316	7,80762	7,99316	8,27148	8,38379	8,56445	7,62695	8,36914	8,24707	7,30469	6,98730	7,38281	7,93457	7,66602	8,24707	7,28516	8,15918	7,93457	8,62305	8,46680	8,34473	7,59766	8,40332	8,16406	0,05371
2,16670	20,9	7,65137	7,70996	6,90430	7,50000	7,57813	7,67090	7,30469	7,98340	7,81738	8,00781	8,27637	8,38379	8,56445	7,63184	8,35938	8,23730	7,29980	6,99219	7,37305	7,92480	7,68555	8,25195	7,28516	8,16406	7,94434	8,62305	8,46191	8,34473	7,59766	8,40332	8,16406	0,05371
2,17504	20,9	7,63672	7,69531	6,90430	7,48535	7,58301	7,67578	7,31445	7,98828	7,82715	8,02246	8,27148	8,37891	8,56934	7,64160	8,36426	8,24219	7,29492	6,98242	7,35840	7,91504	7,68555	8,25195	7,29980	8,17383	7,93945	8,61816	8,45703	8,33984	7,59277	8,39844	8,15918	0,05371
2,18337	20,9	7,60254	7,69043	6,89453	7,47070	7,56348	7,68555	7,30469	7,99316	7,83203	8,03711	8,28125	8,38379	8,57422	7,64160	8,36914	8,23730	7,28027	6,96289	7,36328	7,91992	7,69531	8,25684	7,29980	8,18359	7,95410	8,61328	8,45703	8,33984	7,59277	8,39844	8,15918	0,05371
2,19171	21,0	7,59277	7,67578	6,87988	7,45117	7,53906	7,67578	7,29980	7,97363	7,83203	8,04688	8,28125	8,39355	8,57422	7,63672	8,36426	8,24219	7,28027	6,96777	7,34863	7,91504	7,69531	8,26172	7,29980	8,18359	7,95410	8,61328	8,45215	8,33984	7,58789	8,39844	8,15918	0,05371
2,20004	20,9	7,60254	7,67578	6,87500	7,44141	7,52930	7,67578	7,29492	7,97852	7,83691	8,06152	8,27637	8,39844	8,57422	7,64648	8,36426	8,22754	7,27051	6,96289	7,35352	7,91504	7,69531	8,26660	7,30957	8,18359	7,95410	8,61328	8,45215	8,33496	7,58789	8,39355	8,15430	0,05371
2,20838	21,0	7,59766	7,65625	6,86523	7,44141	7,51953	7,68066	7,29492	7,97363	7,83203	8,06152	8,28125	8,38379	8,57910	7,65137	8,37891	8,21777	7,26563	6,96289	7,34863	7,90039	7,69531	8,28125	7,30957	8,18359	7,95898	8,60840	8,45215	8,33496	7,58789	8,39355	8,15430	0,05371
2,21671	21,0	7,58301	7,62695	6,85547	7,42676	7,50488	7,67090	7,29492	7,96875	7,84180	8,07617	8,27637	8,38867	8,57422	7,64648	8,36914	8,22266	7,26074	6,96777	7,34375	7,90527	7,70508	8,27637	7,31445	8,17383	7,96387	8,60840	8,45215	8,33496	7,58789	8,39355	8,14941	0,05371
2,22505	21,0	7,57813	7,62695	6,84570	7,39258	7,50488	7,67578	7,29004	7,97363	7,84180	8,07617	8,28125	8,38379	8,56934	7,65137	8,36914	8,21777	7,26074	6,95801	7,33887	7,89063	7,69531	8,27637	7,31445	8,19336	7,96387	8,60840	8,44727	8,33008	7,58301	8,38867	8,14941	0,05371
2,23338	21,0	7,56836	7,60742	6,83105	7,38281	7,48535	7,66602	7,29004	7,97363	7,85645	8,08105	8,25684	8,38379	8,57422	7,65137	8,36426	8,21289	7,26074	6,95313	7,33398	7,89551	7,70020	8,28125	7,31934	8,18848	7,96875	8,60840	8,44727	8,33008	7,58301	8,39355	8,14941	0,05371
2,24172	21,0	7,54883	7,60742	6,81641	7,37305	7,48535	7,68066	7,27539	7,96875	7,86133	8,09570	8,33008	8,38379	8,56934	7,65625	8,35938	8,20801	7,25098	6,94336	7,33887	7,88574	7,69531	8,28125	7,31445	8,18359	7,97363	8,60352	8,44238	8,33008	7,58301	8,38867	8,14453	0,05371
2,25005	21,0	7,55371	7,57813	6,81641	7,38281	7,46582	7,67578	7,28027	7,95898	7,88086	8,10547	8,33984	8,38379	8,56934	7,65625	8,35449	8,22754	7,25586	6,95313	7,33398	7,88086	7,70020	8,28613	7,31934	8,18848	7,96875	8,60352	8,44238	8,33008	7,57813	8,38867	8,14453	0,05371
2,25839	21,0	7,52930	7,57813	6,79199	7,35840	7,44629	7,68066	7,27539	7,95410	7,87598	8,11035	8,34473	8,37891	8,56445	7,65625	8,36914	8,21777	7,25098	6,94336	7,34375	7,87109	7,70508	8,29102	7,31934	8,18848	7,97363	8,60352	8,44238	8,32520	7,57813	8,38379	8,14453	0,05371
2,26672	21,0	7,52930	7,56348	6,79199	7,33398	7,43652	7,67578	7,26563	7,95410	7,87598	8,09570	8,33984	8,38867	8,56934	7,66113	8,36914	8,20801	7,25098	6,94336	7,34375	7,88086	7,70996	8,28613	7,31934	8,18848	7,97363	8,60352	8,44238	8,32520	7,57813	8,38379	8,13965	0,05371
2,27505	21,0	7,51953	7,55859	6,77734	7,32910	7,40723	7,67090	7,26074	7,94922	7,89063	8,10547	8,33008	8,39355	8,56934	7,65625	8,36426	8,21289	7,24609	6,94824	7,33398	7,87598	7,71973	8,28613	7,32422	8,19336	7,96387	8,59863	8,44238	8,32520	7,57813	8,38379	8,13965	0,05371
2,28339	21,0	7,50000	7,54395	6,76758	7,31934	7,39258	7,67578	7,24609	7,95410	7,89063	8,12012	8,32031	8,38379	8,56934	7,64160	8,35938	8,19824	7,22656	6,94336	7,32422	7,87598	7,70996	8,29102	7,31445	8,18848	7,96387	8,59863	8,43750	8,32520	7,57813	8,38379	8,13965	0,05371
2,29172	21,0	7,50488	7,51953	6,75781	7,30957	7,36816	7,68555	7,25098	7,94434	7,89551	8,12500	8,32520	8,36914	8,56934	7,65137	8,36426	8,18848	7,23145	6,93848	7,32422	7,88086	7,70996	8,29590	7,30957	8,18848	7,97363	8,59863	8,43262	8,32520	7,57324	8,37891	8,13477	0,05371
2,30006	21,0	7,49023	7,50977	6,73828	7,27539	7,35840	7,69531	7,25098	7,95410	7,89551	8,12012	8,34473	8,37402	8,56445	7,65137	8,36914	8,18848	7,23145	6,92871	7,32422	7,86133	7,70996	8,29590	7,31934	8,18848	7,97363	8,59863	8,43750	8,32520	7,57324	8,37891	8,13477	0,05371
2,30839	21,0	7,48535	7,50000	6,72363	7,27539	7,35352	7,69043	7,23633	7,94922	7,91016	8,12988	8,33008	8,38379	8,55469	7,65625	8,36426	8,18359	7,23145	6,92383	7,31934	7,85156	7,70996	8,29590	7,31934	8,18848	7,97363	8,59375	8,43750	8,32031	7,57324	8,37891	8,13477	0,05371
2,31673	21,0	7,46094	7,48535	6,72852	7,27051	7,33887	7,68555	7,23633	7,95898	7,91016	8,12988	8,32520	8,37891	8,56934	7,64648	8,36426	8,18359	7,22168	6,92383	7,31934	7,84180	7,71973	8,30078	7,31934	8,19336	7,97363	8,59375	8,43750	8,32031	7,57324	8,37891	8,13477	0,05371
2,32506	21,0	7,45605	7,47070	6,70898	7,25098	7,32422	7,68066	7,23145	7,95898	7,91504	8,13965	8,32520	8,37891	8,56934	7,65625	8,36426	8,17871	7,22656	6,92383	7,29492	7,86133	7,71484	8,30078	7,31934	8,19824	7,97363	8,59375	8,43262	8,32031	7,56836	8,37891	8,12988	0,05371
4,00001	21,1	7,37793	8,01758	6,80176	7,57324	7,52441	7,14844	6,89941	7,46582	7,29980	7,79297	8,77441	8,41797	8,63281	7,66113	8,44727	8,47168	7,53418	7,11914	7,62207	8,14941	7,48535	7,78809	7,16309	8,06152	7,88574	8,66211	8,18848	8,29102	6,95313	7,85156	7,59766	0,05371
