26.07.2016	13:30:00
h	°C	1	2	3	4
2,06951	26,0	6,00098	7,40234	7,63184	7,11914
2,07229	26,0	5,98633	7,39258	7,62207	7,10449
2,07507	26,0	5,96680	7,39258	7,61719	7,09473
2,07785	26,0	5,95215	7,38281	7,61719	7,09961
2,08063	26,0	5,93262	7,37793	7,60742	7,08984
2,08341	25,9	5,91797	7,37305	7,59766	7,08008
2,08619	25,9	5,90332	7,37305	7,60254	7,07031
2,08897	25,9	5,88867	7,36328	7,58789	7,06055
2,09175	25,9	5,85449	7,36328	7,57813	7,05566
2,09453	25,9	5,83984	7,36328	7,57324	7,04102
2,09731	25,8	5,82031	7,34375	7,56836	7,02637
2,10009	25,8	5,80078	7,34375	7,56348	7,02637
2,10287	25,8	5,78613	7,33887	7,54883	7,02637
2,10565	25,8	5,77637	7,34375	7,54883	7,02148
2,10843	25,8	5,75684	7,34375	7,53906	7,01172
2,11121	25,8	5,75195	7,33887	7,53418	7,00195
2,11399	25,8	5,73242	7,33398	7,53418	7,00195
2,11677	25,8	5,72266	7,32910	7,52441	6,99219
2,11955	25,7	5,70801	7,33398	7,51465	6,99219
2,12233	25,8	5,69336	7,31934	7,50977	6,99219
2,12511	25,7	5,67383	7,32422	7,50488	6,98242
2,12789	25,7	5,66406	7,32910	7,50000	6,98242
2,13067	25,7	5,64453	7,32422	7,50000	6,97266
2,13345	25,7	5,63477	7,31934	7,50000	6,97266
2,13623	25,7	5,61523	7,31445	7,49023	6,97266
2,13901	25,6	5,60547	7,31445	7,48535	6,96289
2,14179	25,6	5,59082	7,31445	7,49023	6,95801
2,14457	25,6	5,58105	7,31445	7,48047	6,96777
2,14735	25,6	5,57129	7,30469	7,48047	6,95313
2,15013	25,6	5,56152	7,31445	7,47070	6,95313
2,15291	25,6	5,55664	7,30957	7,47559	6,95313
2,15569	25,6	5,53711	7,30957	7,47070	6,94336
2,15847	25,6	5,52734	7,30469	7,46582	6,94824
2,16125	25,6	5,51758	7,30469	7,46094	6,94336
2,16403	25,6	5,50781	7,30469	7,45605	6,93359
3,00001	26,7	7,15332	7,78809	7,91504	7,59766
3,00279	26,7	7,14355	7,77344	7,91016	7,59277
3,00557	26,7	7,11914	7,76855	7,91992	7,56836
3,00835	26,7	7,02637	7,77344	7,93945	7,47070
3,01113	26,7	6,93848	7,69531	7,97852	7,45605
3,01391	26,6	6,85547	7,65137	7,89551	7,40234
3,01669	26,6	6,76758	7,59766	7,86621	7,35352
3,01947	26,6	6,68945	7,54883	7,84180	7,31445
3,02225	26,6	6,61621	7,53418	7,81250	7,24609
3,02503	26,6	6,54785	7,52930	7,78320	7,20703
3,02781	26,5	6,51367	7,50488	7,73438	7,18750
3,03059	26,5	6,44531	7,50000	7,75391	7,16309
3,03337	26,4	6,39648	7,50000	7,74414	7,11426
3,03615	26,4	6,34277	7,45117	7,73926	7,12402
3,03893	26,4	6,28906	7,43164	7,75391	7,11426
3,04171	26,3	6,25977	7,42188	7,73926	7,11914
3,04449	26,3	6,23047	7,40234	7,71484	7,10938
3,04727	26,3	6,20117	7,37305	7,70508	7,13379
3,05005	26,2	6,17188	7,37305	7,68555	7,10449
3,05283	26,2	6,14258	7,39258	7,67090	7,07031
3,05561	26,2	6,13281	7,39258	7,61719	7,07031
3,05839	26,2	6,08398	7,40234	7,66602	7,02148
